0.4921 	WARNING 	Movie2 stim could not be imported and won't be available
41.7715 	EXP 	text_2: autoDraw = False
42.2892 	EXP 	text_3: autoDraw = True
42.8553 	DATA 	Keypress: left
42.8560 	EXP 	New trial (rep=1, index=1): {u'colour': u'yellow', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
42.8584 	EXP 	window1: recordFrameIntervals = False
42.8723 	EXP 	text: autoDraw = False
42.8723 	EXP 	text_2: autoDraw = False
42.8723 	EXP 	text_3: autoDraw = False
42.8723 	EXP 	text_3: color = u'yellow (named)'
42.8723 	EXP 	text_3: text = u'blue'
42.8723 	EXP 	text: autoDraw = True
42.8724 	EXP 	window1: recordFrameIntervals = False
43.8722 	EXP 	text: autoDraw = False
44.3891 	EXP 	text_2: autoDraw = True
45.3720 	EXP 	text_2: autoDraw = False
45.8889 	EXP 	text_3: autoDraw = True
45.9728 	DATA 	Keypress: left
45.9736 	EXP 	New trial (rep=1, index=2): {u'colour': u'red', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
45.9760 	EXP 	window1: recordFrameIntervals = False
45.9888 	EXP 	text: autoDraw = False
45.9888 	EXP 	text_2: autoDraw = False
45.9888 	EXP 	text_3: autoDraw = False
45.9888 	EXP 	text_3: color = u'red (named)'
45.9888 	EXP 	text_3: text = u'green'
45.9888 	EXP 	text: autoDraw = True
45.9889 	EXP 	window1: recordFrameIntervals = False
46.9905 	EXP 	text: autoDraw = False
47.5069 	EXP 	text_2: autoDraw = True
47.8406 	DATA 	Keypress: left
48.4906 	EXP 	text_2: autoDraw = False
48.9900 	EXP 	text_3: autoDraw = True
49.2242 	DATA 	Keypress: left
49.2250 	EXP 	New trial (rep=1, index=3): {u'colour': u'blue', u'word': u'yellow', u'congruent': 0, u'corrAns': u'right'}
49.2276 	EXP 	window1: recordFrameIntervals = False
49.2397 	EXP 	text: autoDraw = False
49.2397 	EXP 	text_2: autoDraw = False
49.2397 	EXP 	text_3: autoDraw = False
49.2397 	EXP 	text_3: color = u'blue (named)'
49.2397 	EXP 	text_3: text = u'yellow'
49.2397 	EXP 	text: autoDraw = True
49.2398 	EXP 	window1: recordFrameIntervals = False
50.2407 	EXP 	text: autoDraw = False
50.7572 	EXP 	text_2: autoDraw = True
51.7416 	EXP 	text_2: autoDraw = False
52.2579 	EXP 	text_3: autoDraw = True
52.8248 	DATA 	Keypress: right
52.8255 	EXP 	New trial (rep=1, index=4): {u'colour': u'green', u'word': u'red', u'congruent': 0, u'corrAns': u'right'}
52.8275 	EXP 	window1: recordFrameIntervals = False
52.8412 	EXP 	text: autoDraw = False
52.8412 	EXP 	text_2: autoDraw = False
52.8412 	EXP 	text_3: autoDraw = False
52.8412 	EXP 	text_3: color = u'green (named)'
52.8412 	EXP 	text_3: text = u'red'
52.8412 	EXP 	text: autoDraw = True
52.8413 	EXP 	window1: recordFrameIntervals = False
53.8416 	EXP 	text: autoDraw = False
54.3578 	EXP 	text_2: autoDraw = True
55.3416 	EXP 	text_2: autoDraw = False
55.8583 	EXP 	text_3: autoDraw = True
56.4761 	DATA 	Keypress: left
56.4768 	EXP 	New trial (rep=1, index=5): {u'colour': u'green', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
56.4791 	EXP 	window1: recordFrameIntervals = False
56.4927 	EXP 	text: autoDraw = False
56.4927 	EXP 	text_2: autoDraw = False
56.4927 	EXP 	text_3: autoDraw = False
56.4927 	EXP 	text_3: color = u'green (named)'
56.4927 	EXP 	text_3: text = u'blue'
56.4927 	EXP 	text: autoDraw = True
56.4928 	EXP 	window1: recordFrameIntervals = False
57.4920 	EXP 	text: autoDraw = False
57.9935 	EXP 	text_2: autoDraw = True
58.9924 	EXP 	text_2: autoDraw = False
59.5088 	EXP 	text_3: autoDraw = True
59.8599 	DATA 	Keypress: left
59.8607 	EXP 	New trial (rep=1, index=6): {u'colour': u'blue', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
59.8632 	EXP 	window1: recordFrameIntervals = False
59.8757 	EXP 	text: autoDraw = False
59.8757 	EXP 	text_2: autoDraw = False
59.8757 	EXP 	text_3: autoDraw = False
59.8757 	EXP 	text_3: color = u'blue (named)'
59.8757 	EXP 	text_3: text = u'green'
59.8757 	EXP 	text: autoDraw = True
59.8758 	EXP 	window1: recordFrameIntervals = False
60.8764 	EXP 	text: autoDraw = False
61.3928 	EXP 	text_2: autoDraw = True
61.8450 	DATA 	Keypress: left
62.3765 	EXP 	text_2: autoDraw = False
62.8773 	EXP 	text_3: autoDraw = True
62.9938 	DATA 	Keypress: left
62.9946 	EXP 	New trial (rep=1, index=7): {u'colour': u'yellow', u'word': u'yellow', u'congruent': 1, u'corrAns': u'left'}
62.9973 	EXP 	window1: recordFrameIntervals = False
63.0099 	EXP 	text: autoDraw = False
63.0099 	EXP 	text_2: autoDraw = False
63.0099 	EXP 	text_3: autoDraw = False
63.0099 	EXP 	text_3: color = u'yellow (named)'
63.0099 	EXP 	text_3: text = u'yellow'
63.0099 	EXP 	text: autoDraw = True
63.0099 	EXP 	window1: recordFrameIntervals = False
63.2983 	DATA 	Keypress: left
64.0106 	EXP 	text: autoDraw = False
64.5272 	EXP 	text_2: autoDraw = True
65.5111 	EXP 	text_2: autoDraw = False
