***************,,,,,,,,,,,,,,
Date: Fri Jun 19 20:38:42 2015,,,,,,,,,,,,,,
Seed: 100301973842220852688042999910286945997,,,,,,,,,,,,,,
ID: kyle,,,,,,,,,,,,,,
CONDS: rbp / r,,,,,,,,,,,,,,
SID,PHASE,COLOR,CONDITION,WORD,FIXATIONON,PRECUEON,WORDON,FIXATIONOFF,PRECUEOFF,WORDOFF,RESPONSE,EXPECTED,ACCURACY,RT
kyle,STUDY0,rbp,P,machine,116.891948,117.141948,117.891948,117.141948,117.891948,120.391948,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,harbor,120.392511,120.642511,121.392511,120.642511,121.392511,123.892511,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,123.89297,-1,-1,126.092532,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,126.092986,-1,-1,128.292536,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,128.292982,-1,-1,130.492538,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,traffic,130.525543,130.775543,131.525543,130.775543,131.525543,134.025543,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,knock,134.026106,134.276106,135.026106,134.276106,135.026106,137.526106,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,137.526598,-1,-1,139.726133,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,quarrel,139.755717,140.005717,140.755717,140.005717,140.755717,143.255717,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,foundation,143.256283,143.506283,144.256283,143.506283,144.256283,146.756283,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,146.756817,-1,-1,148.95632,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,vacation,148.984819,149.234819,149.98482,149.234819,149.984819,152.484819,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,orchard,152.485388,152.735388,153.485389,152.735388,153.485388,155.985388,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,basket,155.986006,156.236006,156.986006,156.236006,156.986006,159.486006,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,159.486481,-1,-1,161.686025,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,journey,161.713963,161.963963,162.713963,161.963963,162.713963,165.213963,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,engine,165.214521,165.464521,166.214521,165.464521,166.214521,168.714521,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,168.714978,-1,-1,170.914544,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,laugh,170.946001,171.196001,171.946002,171.196001,171.946001,174.446001,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,victory,174.446586,174.696586,175.446586,174.696586,175.446586,177.946586,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,177.94705,-1,-1,180.14661,-1,-1,NONE,NONE,-1,-1
